epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1364.2,1.00816,2.11747,1.14033,0.77782,0.71928,0.75864,0.56235,0.69463,0.81046,0.97397,0.0033331,0.0033331,0.0033331
2,2639.3,0.87381,1.34866,1.05004,0.79767,0.7712,0.82652,0.63298,0.62778,0.72601,0.94427,0.00633644,0.00633644,0.00633644
3,3877.4,0.87014,1.18153,1.04907,0.81195,0.76246,0.83656,0.64375,0.65471,0.91759,0.96625,0.00900979,0.00900979,0.00900979
4,5096.99,0.82756,1.09475,1.03015,0.40357,0.10622,0.24666,0.16362,1.60973,5.05677,1.65871,0.008515,0.008515,0.008515
5,6329.98,0.76034,1.02392,0.99239,0.30931,0.02663,0.16491,0.11295,1.92207,6.01127,1.88326,0.00802,0.00802,0.00802
6,7682.48,0.72136,0.98552,0.96933,0.53325,0.18541,0.35524,0.24267,1.42228,4.8645,1.49535,0.007525,0.007525,0.007525
7,9007.2,0.69439,0.95872,0.95504,0.53526,0.75086,0.71894,0.53558,0.86304,2.4071,1.09115,0.00703,0.00703,0.00703
8,10381,0.67394,0.93967,0.94545,0.89729,0.7177,0.90477,0.71936,0.63141,1.2457,0.95222,0.006535,0.006535,0.006535
9,11652.8,0.65855,0.92452,0.93864,0.89889,0.87649,0.9273,0.76421,0.5527,0.88891,0.90807,0.00604,0.00604,0.00604
10,12924.8,0.64359,0.91257,0.93192,0.91024,0.89271,0.93312,0.7793,0.51553,0.74758,0.88693,0.005545,0.005545,0.005545
11,14158.5,0.6027,0.89154,0.91189,0.95741,0.90429,0.9348,0.78883,0.49442,0.68445,0.87457,0.00505,0.00505,0.00505
12,15374.3,0.58162,0.87573,0.90187,0.95865,0.9187,0.95567,0.8106,0.48062,0.64412,0.86611,0.004555,0.004555,0.004555
13,16670.5,0.56377,0.85719,0.89494,0.95915,0.92625,0.97613,0.83036,0.46925,0.61395,0.85958,0.00406,0.00406,0.00406
14,17955.3,0.54557,0.84604,0.88829,0.95956,0.92939,0.97648,0.83671,0.45909,0.58983,0.85455,0.003565,0.003565,0.003565
15,19276.1,0.52827,0.83247,0.88182,0.92303,0.94763,0.97708,0.83942,0.45048,0.57008,0.85037,0.00307,0.00307,0.00307
16,20669.6,0.51046,0.8228,0.87478,0.94677,0.97903,0.97883,0.845,0.44193,0.55366,0.84636,0.002575,0.002575,0.002575
17,21972.7,0.49241,0.81036,0.86882,0.96562,0.97488,0.9801,0.85106,0.43412,0.54064,0.84309,0.00208,0.00208,0.00208
18,23318.4,0.47202,0.79741,0.86187,0.96642,0.97635,0.98113,0.85669,0.4262,0.52925,0.83988,0.001585,0.001585,0.001585
19,24675.8,0.45191,0.78594,0.8554,0.96351,0.97673,0.9818,0.86205,0.41848,0.52051,0.83681,0.00109,0.00109,0.00109
20,26020.2,0.43051,0.77565,0.84913,0.96307,0.97764,0.98217,0.86635,0.41159,0.51282,0.83392,0.000595,0.000595,0.000595
