                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66084,                 1.2263,                 1.7975,                 1.0228,                0.51972,                 0.3844,                 0.5454,                 0.4837,                0.51524,                0.38079,                0.53672,                0.46633,                0.42477,                0.53093,                 20.622,                0.70167,              0.0033329,              0.0033329,              0.0033329
                      2,                0.54782,                0.77235,                0.94939,                0.95265,                0.83054,                0.37119,                0.86238,                0.78622,                0.83289,                0.37386,                0.86305,                0.76442,                0.35764,                0.41168,                 24.571,                0.66806,              0.0063363,              0.0063363,              0.0063363
                      3,                0.55481,                 0.7565,                0.73099,                0.95373,                0.87118,                0.70818,                0.88756,                0.81334,                0.87434,                0.71192,                0.88843,                0.78902,                0.34158,                0.36863,                 27.165,                0.66125,              0.0090096,              0.0090096,              0.0090096
                      4,                0.51935,                0.70651,                0.62185,                 0.9408,                0.88738,                0.68908,                0.87483,                0.82981,                0.88798,                0.68973,                0.87683,                0.79581,                0.31031,                0.34867,                 28.621,                0.64574,               0.008515,               0.008515,               0.008515
                      5,                0.45779,                 0.6225,                0.53627,                0.91758,                0.89219,                0.68889,                0.88352,                0.84109,                0.89513,                0.69194,                0.88652,                 0.8087,                0.27934,                0.31892,                 29.327,                0.62433,                0.00802,                0.00802,                0.00802
                      6,                0.42391,                0.57743,                0.49303,                0.90627,                0.92004,                0.69961,                 0.8889,                0.85176,                0.92171,                0.70133,                0.89152,                0.82817,                0.26138,                0.30275,                 29.432,                 0.6118,               0.007525,               0.007525,               0.007525
                      7,                0.40167,                0.54627,                0.46676,                0.89912,                0.93637,                0.64827,                0.89264,                0.85535,                0.93916,                0.65103,                0.89526,                 0.8372,                0.24953,                0.29685,                 29.635,                0.60688,                0.00703,                0.00703,                0.00703
                      8,                0.38552,                 0.5277,                0.44527,                0.89342,                0.94458,                 0.6026,                 0.8934,                0.86055,                0.94889,                0.60678,                0.89616,                0.84119,                0.24278,                0.28846,                 30.117,                 0.6047,               0.006535,               0.006535,               0.006535
                      9,                0.37036,                0.50254,                0.42678,                0.88793,                0.95148,                0.59114,                0.90026,                0.86739,                0.95389,                0.59346,                0.90305,                0.84866,                0.23645,                0.28155,                 30.466,                 0.6022,                0.00604,                0.00604,                0.00604
                     10,                0.35846,                0.49047,                0.41219,                0.88479,                 0.9548,                0.58947,                0.90543,                0.87532,                0.95754,                 0.5921,                0.90821,                0.85737,                0.23177,                0.27645,                  30.79,                0.59991,               0.005545,               0.005545,               0.005545
                     11,                0.33553,                 0.4086,                0.37456,                0.86678,                0.90817,                0.78196,                 0.9272,                0.89774,                0.91087,                0.78514,                0.92986,                0.87976,                0.22546,                0.26814,                 30.801,                 0.5959,                0.00505,                0.00505,                0.00505
                     12,                0.31291,                0.38393,                0.34843,                0.85763,                0.59687,                0.96415,                0.93824,                 0.9126,                0.59756,                0.96603,                0.94045,                0.89534,                0.21864,                 0.2601,                 31.083,                0.59191,               0.004555,               0.004555,               0.004555
                     13,                0.29612,                0.36865,                0.32929,                0.85119,                0.68524,                0.96316,                0.94566,                0.92062,                0.68607,                0.96491,                 0.9474,                0.90418,                0.21235,                 0.2532,                 31.482,                0.58886,                0.00406,                0.00406,                0.00406
                     14,                0.28161,                0.35054,                0.31372,                0.84781,                0.76289,                0.95739,                0.94851,                0.92417,                0.76374,                0.95884,                 0.9498,                0.90829,                0.20618,                0.24665,                 32.086,                0.58556,               0.003565,               0.003565,               0.003565
                     15,                0.26684,                 0.3391,                0.29919,                0.84247,                0.81871,                0.95317,                0.95051,                0.92877,                0.81945,                0.95432,                0.95142,                0.91356,                0.19931,                0.24073,                 32.627,                0.58187,                0.00307,                0.00307,                0.00307
                     16,                0.25218,                0.32148,                0.28455,                0.83762,                0.84788,                0.94843,                0.95222,                0.93263,                0.84885,                0.94985,                 0.9533,                0.91681,                0.19422,                0.23654,                 33.229,                0.57876,               0.002575,               0.002575,               0.002575
                     17,                0.23859,                0.31019,                0.27031,                0.83519,                0.86888,                0.94236,                0.95191,                0.93412,                0.86906,                0.94262,                0.95216,                0.91728,                0.18841,                0.23191,                 33.937,                0.57577,                0.00208,                0.00208,                0.00208
                     18,                0.22157,                 0.2924,                0.25515,                0.82948,                0.87955,                0.93828,                0.95105,                0.93333,                0.87914,                0.93772,                0.95079,                0.91778,                0.18429,                0.22708,                 34.604,                0.57424,               0.001585,               0.001585,               0.001585
                     19,                0.20749,                0.27855,                0.24178,                0.82761,                0.88962,                0.93589,                0.95126,                0.93473,                0.88917,                0.93529,                0.95094,                0.91921,                0.18095,                0.22291,                 35.187,                0.57252,                0.00109,                0.00109,                0.00109
                     20,                0.19116,                0.26682,                0.22702,                0.82341,                0.90028,                0.93194,                0.95188,                0.93675,                0.89985,                0.93138,                 0.9515,                0.91947,                0.17723,                 0.2188,                   35.9,                0.57033,               0.000595,               0.000595,               0.000595
